Business Legal Name,Assumed Name(s),Street,City,Borough,Postcode,License Type,License Status,License Issue Date,License Expiration Date,Latitude,Longitude,Council District,Community Board,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location
PEAKY BARISTA LLC,PICKY BARISTA,667 COLUMBUS AVENUE,NEW YORK,Manhattan,10025,Sidewalk,Issued,01/16/2026 01:13:13 PM,01/16/2030 11:59:59 PM,40.790828663519,-73.968978089057,6,107,1031627,1012060001,177,MN0702,POINT (-73.968978089057 40.790828663519)
FRENCH 37 LLC,LE DIVE,37 CANAL STREET,NEW YORK,Manhattan,10002,Roadway,Issued,08/15/2025 03:39:47 PM,08/15/2029 11:59:59 PM,40.714651692113,-73.991072044326,1,103,1003826,1002970037,16,MN0301,POINT (-73.991072044326 40.714651692113)
AURORA FG INC,EVELINA'S,211 DEKALB AVENUE,BROOKLYN,Brooklyn,11205,Roadway,Issued,07/03/2025 01:20:17 PM,07/03/2029 11:59:59 PM,40.689536439495,-73.970918489751,35,302,3058544,3020910075,183,BK0203,POINT (-73.970918489751 40.689536439495)
SECRET SUMMER HOSPITALITY GROUP LLC,FESTIVAL,1155 2 AVENUE,NEW YORK,Manhattan,10065,Sidewalk,Issued,04/11/2025 02:08:37 PM,04/11/2029 11:59:59 PM,40.761653082303,-73.963584234172,5,108,1078348,1014150021,11,MN0801,POINT (-73.963584234172 40.761653082303)
SOMMIE LLC,NOOK,45 IRVING AVENUE,BROOKLYN,Brooklyn,11237,Roadway,Issued,06/13/2025 09:15:06 AM,06/13/2029 11:59:59 PM,40.705001532147,-73.92488982582,34,304,3072389,3031760001,447,BK0401,POINT (-73.92488982582 40.705001532147)
FORMA PASTA LLC,FORMA PASTA FACTORY,14 BEDFORD AVENUE,BROOKLYN,Brooklyn,11222,Sidewalk,Issued,01/09/2026 01:36:01 PM,01/09/2030 11:59:59 PM,40.723683023266,-73.951436134798,33,301,3066049,3026450035,569,BK0101,POINT (-73.951436134798 40.723683023266)
SH OPERATIONS LLC,THE SLEEPING CAT,160 7 AVENUE,NEW YORK,Manhattan,10011,Sidewalk,Issued,07/03/2025 01:27:36 PM,07/03/2029 11:59:59 PM,40.741954190854,-73.997214053699,3,104,1068149,1007697503,87,MN0401,POINT (-73.997214053699 40.741954190854)
Manich Brothers LLC,El BORN,651 MANHATTAN AVENUE,BROOKLYN,Brooklyn,11222,Sidewalk,Issued,01/03/2025 10:24:16 AM,01/03/2029 11:59:59 PM,40.724456946287,-73.951197454634,33,301,3066043,3026450025,569,BK0101,POINT (-73.951197454634 40.724456946287)
"QUALITY ROCKETS, INC.",HOTEL DELMANO,82 BERRY STREET,BROOKLYN,Brooklyn,11249,Sidewalk,Issued,02/06/2026 11:17:41 AM,02/06/2030 11:59:59 PM,40.719656265957,-73.957918199134,33,301,3061752,3023100023,557,BK0102,POINT (-73.957918199134 40.719656265957)
WEST10WEST LLC,WEST10WEST,242 WEST   10 STREET,NEW YORK,Manhattan,10014,Roadway,Issued,08/29/2025 02:06:03 PM,08/29/2029 11:59:59 PM,40.733824094276,-74.005675850751,3,102,1011136,1006190014,73,MN0203,POINT (-74.005675850751 40.733824094276)
4F SUR MONTAIGU LLC,L'APPARTEMENT 4F,115 MONTAGUE STREET,BROOKLYN,Brooklyn,11201,Roadway,Issued,07/18/2025 03:17:04 PM,07/18/2029 11:59:59 PM,40.694952706048,-73.994872005055,33,302,3001964,3002420006,501,BK0201,POINT (-73.994872005055 40.694952706048)
"DELILLO PASTRY SHOP, INC.",DE LILLO PASTRY SHOP,610 EAST  187 STREET,BRONX,Bronx,10458,Sidewalk,Issued,12/20/2024 10:09:22 AM,12/20/2028 11:59:59 PM,40.855350279053,-73.887196544203,15,206,2012142,2030730048,391,BX0603,POINT (-73.887196544203 40.855350279053)
MP SYNDICATE 1 LLC,MAISON PREMIERE,298 BEDFORD AVENUE,BROOKLYN,Brooklyn,11249,Roadway,Issued,07/18/2025 03:20:38 PM,07/18/2029 11:59:59 PM,40.714198177366,-73.961492816654,34,301,3062777,3023920029,551,BK0102,POINT (-73.961492816654 40.714198177366)
OLD TOWN BAR & RESTAURANT CORP.,OLD TOWN BAR,45 EAST   18 STREET,NEW YORK,Manhattan,10003,Sidewalk,Issued,01/16/2026 01:12:12 PM,01/16/2030 11:59:59 PM,40.73759507351,-73.989647208522,2,105,1016150,1008470034,52,MN0501,POINT (-73.989647208522 40.73759507351)
RAW SUGAR BROOKLYN LLC,GEORGE AND JACKS TAP ROOM,103 BERRY STREET,BROOKLYN,Brooklyn,11249,Roadway,Issued,08/08/2025 02:43:33 PM,08/08/2029 11:59:59 PM,40.719093798979,-73.958495755097,33,301,3061915,3023190008,553,BK0102,POINT (-73.958495755097 40.719093798979)
SHIRT RESTAURANT CORP./ISLAND,ISLAND,1305 MADISON AVENUE,NEW YORK,Manhattan,10128,Sidewalk,Issued,02/13/2026 03:48:05 PM,02/13/2030 11:59:59 PM,40.784953325549,-73.95580762231,5,108,1047084,1015040055,16001,MN0802,POINT (-73.95580762231 40.784953325549)
330 WB OPERATIONS LLC,A PASTA BAR,330 WEST BROADWAY,NEW YORK,Manhattan,10013,Roadway,Issued,06/18/2025 03:38:01 PM,06/18/2029 11:59:59 PM,40.722106759214,-74.004008110129,1,102,1002945,1002270022,47,MN0201,POINT (-74.004008110129 40.722106759214)
RESTAURANT VENTURES OF NY INC.,ALTESI DOWNTOWN,200 SPRING STREET,NEW YORK,Manhattan,10012,Sidewalk,Issued,02/13/2026 02:28:27 PM,02/13/2030 11:59:59 PM,40.725180921477,-74.00326869121,1,102,1007353,1004890017,47,MN0201,POINT (-74.00326869121 40.725180921477)
AURORA FG INC,EVELINA'S,211 DEKALB AVENUE,BROOKLYN,Brooklyn,11205,Sidewalk,Issued,07/03/2025 01:19:50 PM,07/03/2029 11:59:59 PM,40.689536439495,-73.970918489751,35,302,3058544,3020910075,183,BK0203,POINT (-73.970918489751 40.689536439495)
22 WEST 46 STREET LTD,ST. PATRICK'S BAR AND GRILL,22 WEST   46 STREET,NEW YORK,Manhattan,10036,Roadway,Issued,10/31/2025 11:44:16 AM,10/31/2029 11:59:59 PM,40.756417370066,-73.979985181942,4,105,1034258,1012610051,96,MN0502,POINT (-73.979985181942 40.756417370066)
"VIRGILIA CAFE, INC.",ANTONUCCI,168 EAST   81 STREET,NEW YORK,Manhattan,10028,Sidewalk,Issued,03/06/2026 09:48:39 AM,03/06/2030 11:59:59 PM,40.775904359811,-73.957091798192,4,108,1047527,1015090041,14,MN0802,POINT (-73.957091798192 40.775904359811)
